Entry Index,Exit Index,Trade Duration,Entry Price,Exit Price,Returns for Trade in %,Type of Trade,Trade Close By,No. of Stocks Traded,Profit/Loss,Capital,Max Drawdown for Trade,Max Dip for Trade
267,268,1,8400.0,8465.94,-0.785000000000006,short,Max Drawdown Limit,78,-5143.32000000004,655069.9799999997,0.7851558088496237,0.7790391378059283
273,274,1,8041.46,8239.81,-2.4665918875428026,short,Max Drawdown Limit,81,-16066.349999999955,639003.6299999998,2.5142814916403498,2.4526158258694717
279,280,1,7501.95,7575.01,-0.9738801245009685,short,Max Drawdown Limit,85,-6210.100000000034,632793.5299999998,0.981378554866068,0.9718411145802065
283,284,1,7338.99,7099.0,3.2700684971637757,short,Max Drawdown Limit,86,20639.13999999998,653432.6699999998,0.0,0.0
285,286,1,7461.29,7375.96,1.1436360200447904,short,Max Drawdown Limit,87,7423.709999999994,660856.3799999998,0.0,0.0
287,288,1,7485.01,7521.01,-0.48096128128085336,short,Max Drawdown Limit,88,-3168.0,657688.3799999998,0.4816870871277977,0.47937798527419845
297,298,1,6764.99,6872.0,-1.5818205200598998,short,Max Drawdown Limit,97,-10379.970000000021,647308.4099999998,1.6035586498868406,1.5782504778326747
299,300,1,6530.0,6292.78,3.6327718223583503,short,Max Drawdown Limit,99,23484.780000000024,670793.1899999998,0.0,0.0
301,302,1,6635.98,6388.9,3.7233385272408888,short,Max Drawdown Limit,101,24955.079999999994,695748.2699999998,0.0,0.0
305,306,1,6712.46,6741.21,-0.4283079526730886,short,Max Drawdown Limit,103,-2961.25,692787.0199999998,0.42744016768674464,0.4256208930278765
309,310,1,6045.0,6149.98,-1.7366418527708778,short,Max Drawdown Limit,114,-11967.71999999995,680819.2999999998,1.757840883770477,1.7274746284940463
311,312,1,6136.97,6252.0,-1.8743777466730283,short,Max Drawdown Limit,110,-12653.299999999972,668165.9999999999,1.8937359877635098,1.8585401442056553
314,315,1,6133.73,5853.98,4.56084633656845,short,Max Drawdown Limit,108,30213.0,698378.9999999999,0.0,0.0
321,322,1,6586.98,6529.2,-0.8771849922119052,long,Max Drawdown Limit,106,-6124.679999999973,692254.3199999998,0.8847442078801405,0.8769851327144791
327,328,1,6296.91,6378.07,-1.2888861362160147,short,Max Drawdown Limit,109,-8846.439999999984,683407.8799999999,1.2944597595216412,1.2779176300409285
