No_of_Stocks,Portfolio_Value,Profit_From_Initial_Capital,Current_Position,Current Position,drawdown,drawdown2
124.0,1103031.3100000003,10.303131000000029,,0,0.0,0.7369138052844479
0.0,1208846.7100000002,20.88467100000002,,0,0.0,0.0
152.0,1208846.7100000002,20.88467100000002,,0,0.0,0.0
0.0,1214213.83,21.42138300000001,,0,0.0,0.0
153.0,1214213.83,21.42138300000001,,0,0.0,0.0
0.0,1693795.3900000001,69.37953900000001,,0,0.0,0.0
303.0,1693795.3900000001,69.37953900000001,,0,0.0,0.0
0.0,1816977.0100000002,81.69770100000002,,0,0.0,0.0
338.0,1816977.0100000002,81.69770100000002,,0,0.0,0.0
0.0,1704649.4700000002,70.46494700000002,,0,6.5894802407676245,6.5894802407676245
320.0,1704649.4700000002,70.46494700000002,,0,0.0,6.5894802407676245
0.0,1678921.4700000002,67.89214700000002,,0,1.532412352794559,8.222870602756663
0.0,1678921.4700000002,67.89214700000002,,0,0.0,8.222870602756663
0.0,1678921.4700000002,67.89214700000002,,0,0.0,8.222870602756663
0.0,1678921.4700000002,67.89214700000002,,0,0.0,8.222870602756663
0.0,1678921.4700000002,67.89214700000002,,0,0.0,8.222870602756663
0.0,1678921.4700000002,67.89214700000002,,0,0.0,8.222870602756663
0.0,1678921.4700000002,67.89214700000002,,0,0.0,8.222870602756663
0.0,1678921.4700000002,67.89214700000002,,0,0.0,8.222870602756663
0.0,1678921.4700000002,67.89214700000002,,0,0.0,8.222870602756663
0.0,1678921.4700000002,67.89214700000002,,0,0.0,8.222870602756663
0.0,1678921.4700000002,67.89214700000002,,0,0.0,8.222870602756663
0.0,1678921.4700000002,67.89214700000002,,0,0.0,8.222870602756663
262.0,1678921.4700000002,67.89214700000002,,0,0.0,8.222870602756663
0.0,1683129.19,68.312919,,0,0.0,7.95232004739935
0.0,1683129.19,68.312919,,0,0.0,7.95232004739935
247.0,1683129.19,68.312919,,0,0.0,7.95232004739935
0.0,1668311.6600000001,66.83116600000002,,0,0.8881751746553035,8.911125754524791
0.0,1668311.6600000001,66.83116600000002,,0,0.0,8.911125754524791
0.0,1668311.6600000001,66.83116600000002,,0,0.0,8.911125754524791
0.0,1668311.6600000001,66.83116600000002,,0,0.0,8.911125754524791
0.0,1668311.6600000001,66.83116600000002,,0,0.0,8.911125754524791
0.0,1668311.6600000001,66.83116600000002,,0,0.0,8.911125754524791
0.0,1668311.6600000001,66.83116600000002,,0,0.0,8.911125754524791
0.0,1668311.6600000001,66.83116600000002,,0,0.0,8.911125754524791
0.0,1668311.6600000001,66.83116600000002,,0,0.0,8.911125754524791
0.0,1668311.6600000001,66.83116600000002,,0,0.0,8.911125754524791
0.0,1668311.6600000001,66.83116600000002,,0,0.0,8.911125754524791
0.0,1668311.6600000001,66.83116600000002,,0,0.0,8.911125754524791
0.0,1668311.6600000001,66.83116600000002,,0,0.0,8.911125754524791
234.0,1668311.6600000001,66.83116600000002,,0,0.0,8.911125754524791
0.0,1650904.4000000001,65.09044000000002,,0,1.0544075114222247,10.059492845255006
227.0,1650904.4000000001,65.09044000000002,,0,0.0,10.059492845255006
0.0,1621880.18,62.18801799999999,,0,1.7895415677377724,12.029053218962224
237.0,1621880.18,62.18801799999999,,0,0.0,12.029053218962224
0.0,1625326.16,62.532616,,0,0.0,11.791531737851333
228.0,1625326.16,62.532616,,0,0.0,11.791531737851333
0.0,1706779.16,70.677916,,0,0.0,6.456479700631002
0.0,1706779.16,70.677916,,0,0.0,6.456479700631002
0.0,1706779.16,70.677916,,0,0.0,6.456479700631002
0.0,1706779.16,70.677916,,0,0.0,6.456479700631002
