Entry Index,Exit Index,Trade Duration,Entry Price,Exit Price,Returns for Trade in %,Type of Trade,Trade Close By,No. of Stocks Traded,Profit/Loss,Capital,Max Drawdown for Trade,Max Dip for Trade
551,552,1,33690.14,34220.01,1.5727747050027177,long,signal,154,81599.9800000004,5296482.0900000045,0.0,0.0
563,564,1,31520.07,31778.56,-0.8200806660645158,short,signal,168,-43426.32000000027,5253055.770000004,0.8266868257520947,0.8199087481479665
566,567,1,29790.35,32144.51,-7.902424778493707,short,nextday,176,-414332.16,4838723.610000004,8.562839984158547,7.887450241176476
568,569,1,32287.83,33634.09,4.169558623171624,long,Max Drawdown Limit,149,200592.73999999923,5039316.350000003,0.0,0.0
570,571,1,34258.14,35381.02,3.277702759110674,long,signal,147,165063.3599999996,5204379.710000003,0.0,0.0
572,573,1,37237.6,39457.87,5.962441188476175,long,ID,139,308617.53000000055,5512997.240000004,0.0,0.0
574,575,1,40019.56,40016.48,-0.007696236540317961,long,signal,137,-421.9599999992424,5512575.280000005,0.0076544986429469865,0.007653912774297545
576,577,1,42206.37,41461.83,-1.7640465171489534,long,signal,130,-96790.20000000011,5415785.080000005,1.7871868726371265,1.7558073147982498
580,581,1,38207.05,39723.18,3.968194351566,long,signal,141,213774.32999999964,5629559.410000004,0.0,0.0
582,583,1,40862.46,42836.87,4.831843212572134,long,signal,137,270494.1700000005,5900053.580000005,0.0,0.0
584,585,1,44572.54,43794.37,-1.7458506964153224,long,signal,132,-102718.43999999977,5797335.140000005,1.7718216649451697,1.7409746980636638
586,587,1,46253.4,45584.99,-1.445104576096035,long,signal,125,-83551.25000000044,5713783.890000005,1.4622752909193408,1.4412009653111055
590,591,1,47800.0,47068.51,-1.5303138075313765,long,signal,119,-87047.30999999976,5626736.580000006,1.5470301259420163,1.5234617142651419
598,599,1,48821.87,49239.22,0.8548423073511903,long,signal,115,47995.24999999983,5674731.830000005,0.0,0.0
600,601,1,49488.85,47674.01,-3.6671694735278684,long,signal,114,-206891.7599999996,5467840.070000006,3.7837931861821743,3.645842062637146
605,606,1,48895.35,48767.83,-0.2608018962948354,long,signal,111,-14154.719999999645,5453685.350000006,0.2595441264318581,0.25887223874124254
