No_of_Stocks,Portfolio_Value,Profit_From_Initial_Capital,Current_Position,Current Position,drawdown,drawdown2
147.0,815046.1599999999,-18.49538400000001,,0,0.0,25.825528703797602
0.0,840306.6399999998,-15.969336000000023,,0,0.0,22.04308417698571
139.0,840306.6399999998,-15.969336000000023,,0,0.0,22.04308417698571
0.0,842386.0799999998,-15.761392000000015,,0,0.0,21.74181938049121
141.0,842386.0799999998,-15.761392000000015,,0,0.0,21.74181938049121
0.0,837579.3899999998,-16.24206100000002,,0,0.5738787340505193,22.440469792362045
0.0,837579.3899999998,-16.24206100000002,,0,0.0,22.440469792362045
0.0,837579.3899999998,-16.24206100000002,,0,0.0,22.440469792362045
0.0,837579.3899999998,-16.24206100000002,,0,0.0,22.440469792362045
0.0,837579.3899999998,-16.24206100000002,,0,0.0,22.440469792362045
0.0,837579.3899999998,-16.24206100000002,,0,0.0,22.440469792362045
0.0,837579.3899999998,-16.24206100000002,,0,0.0,22.440469792362045
0.0,837579.3899999998,-16.24206100000002,,0,0.0,22.440469792362045
129.0,837579.3899999998,-16.24206100000002,,0,0.0,22.440469792362045
0.0,875115.8099999997,-12.48841900000003,,0,0.0,17.188619869637638
124.0,875115.8099999997,-12.48841900000003,,0,0.0,17.188619869637638
0.0,886903.2499999998,-11.309675000000023,,0,0.0,15.631117599354866
120.0,886903.2499999998,-11.309675000000023,,0,0.0,15.631117599354866
0.0,885453.6499999998,-11.454635000000021,,0,0.16371269122895107,15.820420413874883
127.0,885453.6499999998,-11.454635000000021,,0,0.0,15.820420413874883
0.0,898651.4899999998,-10.134851000000024,,0,0.0,14.1194502442766
123.0,898651.4899999998,-10.134851000000024,,0,0.0,14.1194502442766
0.0,871221.2599999998,-12.877874000000023,,0,3.1484803297844213,17.712478687675766
0.0,871221.2599999998,-12.877874000000023,,0,0.0,17.712478687675766
0.0,871221.2599999998,-12.877874000000023,,0,0.0,17.712478687675766
149.0,871221.2599999998,-12.877874000000023,,0,0.0,17.712478687675766
0.0,968810.2999999998,-3.1189700000000187,,0,0.0,5.855206122395707
0.0,968810.2999999998,-3.1189700000000187,,0,0.0,5.855206122395707
133.0,968810.2999999998,-3.1189700000000187,,0,0.0,5.855206122395707
0.0,1051860.8199999998,5.186081999999984,,0,0.0,0.0
136.0,1051860.8199999998,5.186081999999984,,0,0.0,0.0
0.0,1060394.8199999998,6.039481999999984,,0,0.0,0.0
131.0,1060394.8199999998,6.039481999999984,,0,0.0,0.0
0.0,1083188.8199999998,8.318881999999983,,0,0.0,0.0
133.0,1083188.8199999998,8.318881999999983,,0,0.0,0.0
0.0,1094681.3499999999,9.468134999999986,,0,0.0,0.0
136.0,1094681.3499999999,9.468134999999986,,0,0.0,0.0
0.0,1110730.71,11.073070999999997,,0,0.0,0.0
127.0,1110730.71,11.073070999999997,,0,0.0,0.0
0.0,1165087.98,16.508797999999995,,0,0.0,0.0
120.0,1165087.98,16.508797999999995,,0,0.0,0.0
0.0,1194703.98,19.470397999999996,,0,0.0,0.0
123.0,1194703.98,19.470397999999996,,0,0.0,0.0
0.0,1213286.8199999998,21.328681999999983,,0,0.0,0.0
112.0,1213286.8199999998,21.328681999999983,,0,0.0,0.0
0.0,1225273.06,22.527306000000006,,0,0.0,0.0
109.0,1225273.06,22.527306000000006,,0,0.0,0.0
0.0,1270354.37,27.035437000000012,,0,0.0,0.0
108.0,1270354.37,27.035437000000012,,0,0.0,0.0
0.0,1470160.85,47.016085000000004,,0,0.0,0.0
88.0,1470160.85,47.016085000000004,,0,0.0,0.0
0.0,1406888.85,40.688885000000006,,0,4.497299129209816,4.497299129209816
95.0,1406888.85,40.688885000000006,,0,0.0,4.497299129209816
0.0,1430060.3,43.00603000000001,,0,0.0,2.8041160222404637
86.0,1430060.3,43.00603000000001,,0,0.0,2.8041160222404637
0.0,1409594.0199999998,40.959401999999976,,0,1.4519272719389278,4.29675701944311
87.0,1409594.0199999998,40.959401999999976,,0,0.0,4.29675701944311
0.0,1435841.0499999998,43.58410499999999,,0,0.0,2.390222789632619
81.0,1435841.0499999998,43.58410499999999,,0,0.0,2.390222789632619
0.0,1562430.2799999996,56.24302799999996,,0,0.0,0.0
82.0,1562430.2799999996,56.24302799999996,,0,0.0,0.0
0.0,1562121.1399999994,56.21211399999994,,0,0.019789758430650933,0.019789758430650933
90.0,1562121.1399999994,56.21211399999994,,0,0.0,0.019789758430650933
0.0,1489561.3399999994,48.95613399999994,,0,4.871219334948642,4.891973095918306
96.0,1489561.3399999994,48.95613399999994,,0,0.0,4.891973095918306
0.0,1281622.4599999995,28.162245999999953,,0,16.224659483573657,21.910338556332743
0.0,1281622.4599999995,28.162245999999953,,0,0.0,21.910338556332743
0.0,1281622.4599999995,28.162245999999953,,0,0.0,21.910338556332743
0.0,1281622.4599999995,28.162245999999953,,0,0.0,21.910338556332743
81.0,1281622.4599999995,28.162245999999953,,0,0.0,21.910338556332743
0.0,1263071.8399999994,26.30718399999994,,0,1.468690807009055,23.700824491503216
0.0,1263071.8399999994,26.30718399999994,,0,0.0,23.700824491503216
0.0,1263071.8399999994,26.30718399999994,,0,0.0,23.700824491503216
101.0,1263071.8399999994,26.30718399999994,,0,0.0,23.700824491503216
0.0,1134160.4899999993,13.41604899999993,,0,11.366235302377724,37.76095127418876
0.0,1134160.4899999993,13.41604899999993,,0,0.0,37.76095127418876
77.0,1134160.4899999993,13.41604899999993,,0,0.0,37.76095127418876
0.0,1152979.2899999993,15.297928999999936,,0,0.0,35.51243231784332
0.0,1152979.2899999993,15.297928999999936,,0,0.0,35.51243231784332
67.0,1152979.2899999993,15.297928999999936,,0,0.0,35.51243231784332
0.0,1160309.0899999996,16.030908999999962,,0,0.0,34.65638539468824
0.0,1160309.0899999996,16.030908999999962,,0,0.0,34.65638539468824
77.0,1160309.0899999996,16.030908999999962,,0,0.0,34.65638539468824
0.0,1121613.5099999995,12.161350999999955,,0,3.449992324004736,39.30202035458723
75.0,1121613.5099999995,12.161350999999955,,0,0.0,39.30202035458723
0.0,996490.2599999995,-0.35097400000004564,,0,12.556394680666527,56.79333182845162
0.0,996490.2599999995,-0.35097400000004564,,0,0.0,56.79333182845162
70.0,996490.2599999995,-0.35097400000004564,,0,0.0,56.79333182845162
0.0,945039.5599999995,-5.496044000000053,,0,5.444290607263055,65.3296164660028
0.0,945039.5599999995,-5.496044000000053,,0,0.0,65.3296164660028
86.0,945039.5599999995,-5.496044000000053,,0,0.0,65.3296164660028
0.0,937403.6199999994,-6.259638000000059,,0,0.8145840102473751,66.67636508593817
85.0,937403.6199999994,-6.259638000000059,,0,0.0,66.67636508593817
0.0,893797.7699999994,-10.620223000000056,,0,4.878715461552338,74.80803068013925
69.0,893797.7699999994,-10.620223000000056,,0,0.0,74.80803068013925
0.0,806171.9099999995,-19.382809000000055,,0,10.869376483236689,93.80857365769549
74.0,806171.9099999995,-19.382809000000055,,0,0.0,93.80857365769549
0.0,803276.2899999993,-19.672371000000066,,0,0.360476219209721,94.50720747652103
0.0,803276.2899999993,-19.672371000000066,,0,0.0,94.50720747652103
0.0,803276.2899999993,-19.672371000000066,,0,0.0,94.50720747652103
72.0,803276.2899999993,-19.672371000000066,,0,0.0,94.50720747652103
0.0,774332.2899999993,-22.566771000000067,,0,3.737930133328164,101.77775099628106
0.0,774332.2899999993,-22.566771000000067,,0,0.0,101.77775099628106
0.0,774332.2899999993,-22.566771000000067,,0,0.0,101.77775099628106
0.0,774332.2899999993,-22.566771000000067,,0,0.0,101.77775099628106
0.0,774332.2899999993,-22.566771000000067,,0,0.0,101.77775099628106
83.0,774332.2899999993,-22.566771000000067,,0,0.0,101.77775099628106
0.0,803505.9599999993,-19.64940400000007,,0,0.0,94.45161053939177
0.0,803505.9599999993,-19.64940400000007,,0,0.0,94.45161053939177
98.0,803505.9599999993,-19.64940400000007,,0,0.0,94.45161053939177
0.0,925498.3199999994,-7.450168000000064,,0,0.0,68.82043394741123
120.0,925498.3199999994,-7.450168000000064,,0,0.0,68.82043394741123
0.0,931875.1199999994,-6.812488000000058,,0,0.0,67.66519960314001
0.0,931875.1199999994,-6.812488000000058,,0,0.0,67.66519960314001
107.0,931875.1199999994,-6.812488000000058,,0,0.0,67.66519960314001
0.0,947918.6999999995,-5.208130000000051,,0,0.0,64.82745619429181
117.0,947918.6999999995,-5.208130000000051,,0,0.0,64.82745619429181
0.0,849741.6599999995,-15.025834000000055,,0,11.553751524904651,83.87121092780134
0.0,849741.6599999995,-15.025834000000055,,0,0.0,83.87121092780134
0.0,849741.6599999995,-15.025834000000055,,0,0.0,83.87121092780134
0.0,849741.6599999995,-15.025834000000055,,0,0.0,83.87121092780134
0.0,849741.6599999995,-15.025834000000055,,0,0.0,83.87121092780134
76.0,849741.6599999995,-15.025834000000055,,0,0.0,83.87121092780134
0.0,799876.5399999996,-20.012346000000043,,0,6.234102077803145,95.33392990873321
